INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-04-01T15:00:00-00:00,2022-04-01T16:00:00-00:00,2,2022-04-01,9,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,261.8,2DA,4
2022-04-02T00:00:00-00:00,2022-04-02T01:00:00-00:00,2,2022-04-01,18,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,282.85,2DA,4
2022-04-01T21:00:00-00:00,2022-04-01T22:00:00-00:00,2,2022-04-01,15,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,261.14,2DA,4
2022-04-01T18:00:00-00:00,2022-04-01T19:00:00-00:00,2,2022-04-01,12,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,257.19,2DA,4
2022-04-01T17:00:00-00:00,2022-04-01T18:00:00-00:00,2,2022-04-01,11,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,259.01,2DA,4
2022-04-01T12:00:00-00:00,2022-04-01T13:00:00-00:00,2,2022-04-01,6,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,233.1,2DA,4
2022-04-01T17:00:00-00:00,2022-04-01T18:00:00-00:00,2,2022-04-01,11,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,96.17,2DA,5
2022-04-01T20:00:00-00:00,2022-04-01T21:00:00-00:00,2,2022-04-01,14,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,96.76,2DA,5
2022-04-01T15:00:00-00:00,2022-04-01T16:00:00-00:00,2,2022-04-01,9,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,99.13,2DA,5
2022-04-01T22:00:00-00:00,2022-04-01T23:00:00-00:00,2,2022-04-01,16,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,101.94,2DA,5
2022-04-02T05:00:00-00:00,2022-04-02T06:00:00-00:00,2,2022-04-01,23,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,89.96,2DA,5
2022-04-02T02:00:00-00:00,2022-04-02T03:00:00-00:00,2,2022-04-01,20,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,104.86,2DA,5
2022-04-01T08:00:00-00:00,2022-04-01T09:00:00-00:00,2,2022-04-01,2,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,75.72,2DA,5
2022-04-02T01:00:00-00:00,2022-04-02T02:00:00-00:00,2,2022-04-01,19,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,105.49,2DA,5
2022-04-02T06:00:00-00:00,2022-04-02T07:00:00-00:00,2,2022-04-01,24,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,84.46,2DA,5
2022-04-01T09:00:00-00:00,2022-04-01T10:00:00-00:00,2,2022-04-01,3,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,74.67,2DA,5
2022-04-01T14:00:00-00:00,2022-04-01T15:00:00-00:00,2,2022-04-01,8,0,2DA,BANCRDNG,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,97.03,2DA,5
